gene,x
,
Ly6e,4
,
Foxq1,4
,
Hsd17b6,4
,
Aspg,2
,
Eno1,4
,
Arg1,2
,
Gldc,2
,
Gls2,4
,
Sult5a1,4
,
Bhlhe40,4
,
Sds,4
,
Pigr,2
,
Aldh1b1,4
,
Got1,4
,
Spp1,4
,
Ass1,2
,
Uox,2
,
Apoa4,4
,
Uroc1,2
,
Ftcd,4
,
Ctsc,4
,
Rida,4
,
Slc7a2,4
,
Etnppl,4
,
Asl,4
,
Cyp2f2,4
,
G6pc,4
,
Gas2,4
,
Igfbp3,4
,
Sfxn1,4
,
Hal,4
,
Slc3a1,4
,
Fbp1,4
,
Hsd17b13,4
,
Pck1,4
,
Apoc2,4
,
Abhd2,4
,
Alb,4
,
Amdhd1,2
,
Slc25a47,4
,
Acly,4
,
Cdh1,4
,
Tm4sf4,4
,
Hpx,4
,
Gm11437,2
,
Itih4,2
,
Mfsd2a,4
,
Ethe1,2
,
Hc,2
,
St3gal5,2
,
Kynu,2
,
Apon,2
,
Ly6c1,4
,
Mug2,2
,
Cyp17a1,4
,
H2-Ab1,2
,
Btg1,2
,
Msr1,2
,
Hamp,2
,
St6gal1,2
,
Fgb,2
,
Atp1b1,4
,
Cps1,2
,
Slco2a1,2
,
Apoc3,2
,
Apoa5,2
,
Fgg,2
,
Otc,2
,
Orm1,2
,
Slc40a1,2
,
Aldob,4
,
Hsd11b1,2
,
Car14,4
,
Cfi,2
,
Tat,2
,
Arsg,2
,
Igf1,4
,
Slc38a3,2
,
Fga,2
,
Cth,2
,
Ambp,2
,
Tmem219,2
,
Slc37a4,2
,
Selenop,4
,
Itih3,2
,
Ccl9,2
,
Nnmt,4
,
Egfr,4
,
Kng1,2
,
Sdsl,4
,
Slc25a51,4
,
Maob,4
,
Tars,4
,
C9,2
,
Cox7b,2
,
Ak4,2
,
F11r,4
,
Tstd1,4
,
Afm,4
,
Agxt,2
,
H2-Aa,2
,
Igfbp2,2
,
Acat3,2
,
Tmsb4x,2
,
Tkfc,4
,
Cfh,2
,
Cbs,4
,
Slc2a2,2
,
Cd74,2
,
Kyat3,2
,
Clec4f,2
,
Pglyrp2,2
,
F10,2
,
Retsat,2
,
Gapdh,4
,
Serpina1a,2
,
Kyat1,2
,
Aqp8,2
,
Egr1,2
,
Avpr1a,1
,
Cyp27a1,5
,
Pon1,5
,
Mgst1,5
,
Hsd3b7,5
,
Cyp1a2,1
,
Nr1i3,5
,
Gstm2,3
,
Gulo,3
,
Cyp2e1,1
,
Lifr,5
,
Rarres1,1
,
Aqp9,5
,
Tsc22d1,1
,
Rnase4,1
,
Lect2,1
,
Cldn2,5
,
Aldh3a2,1
,
Rmdn2,1
,
Cyp4a14,5
,
Slco1a1,5
,
Oat,3
,
Cyb5a,1
,
Blvrb,1
,
Ces1g,5
,
Ang2,1
,
Gstm6,3
,
Cyp2c38,5
,
Ugt2b1,5
,
Slc16a10,1
,
Gsta3,5
,
Por,1
,
Akr1c6,1
,
Npr2,1
,
Glul,3
,
Slco1b2,1
,
Cyp2c29,1
,
Slc22a1,3
,
Csad,1
,
Rgn,1
,
Ces1d,5
,
Ndrg1,1
,
Notum,1
,
Slc1a2,3
,
Cyp2c37,1
,
Sord,1
,
Aldh1a1,1
,
Gstm1,1
,
Rdh16,1
,
Cyp2c50,5
,
Ang,1
,
Tmem254a,5
,
Gstm3,3
,
Cyp7a1,5
,
Nrn1,1
,
Slc43a3,1
,
Tst,1
,
Nxpe2,1
,
Fam107b,1
,
Adh4,5
,
Cd36,3
,
Entpd5,1
,
Pdk4,3
,
Fam25c,1
,
Serpina7,3
,
Hspb1,1
,
Serpina6,1
,
Pcp4l1,3
,
Gm6614,1
,
Ahr,1
,
Cpox,1
,
Tbx3,3
,
Fbxo21,1
,
Cyp7b1,1
,
Alad,1
,
Prodh,1
,
Plpp3,5
,
Ugt2b35,5
,
Chpt1,5
,
Rcan2,3
,
Cyb5b,1
,
Tsku,1
,
Cyp2d40,1
,
Ces2c,3
,
Rhbg,3
,
Cyp3a41a,5
,
Slc13a3,3
,
Mup13,5
,
D630039A03Rik,1
,
Ugt2b34,5
,
Aldh2,1
,
Akr1c20,1
,
Slc19a2,1
,
Nat8f2,5
,
Phospho1,1
,
Cyp2a4,3
